Location,Organisation,Fellow,Organisation Description,Link to Partner Website,Start Date,Finish Date,Bio for New Site,Photo URL
NYC,,Omar Shakir,,,01/09/2014,01/09/2016,"OMAR SHAKIR
Omar Shakir is a Bertha Fellow in CCR’s Guantanamo Global Justice Initiative docket. Omar previously was a fellow at Human Rights Watch, where he investigated abuses in Egypt and was lead researcher and author of “All According to Plan,” a 188-page report that documents the mass killings of protesters in Egypt in July and August 2013, including the Rab’a Massacre, where security forces gunned down at least 817 people in one of the world’s largest ever killings of demonstrators in a single day.

A former Fulbright Scholar in Syria, Omar holds a JD from Stanford Law School, an MA in Arab Studies from Georgetown University’s School of Foreign Affairs, and a BA in International Relations from Stanford. At Stanford, Omar co-authored ‘Living Under Drones’, a joint Stanford-NYU report documenting civilian consequences of US drone practices in Pakistan, and served as president of the International Law Society, co-president of the Iraqi Refugee Assistance Program, and co-president of Students for Palestinian Equal Rights, a group he founded as an undergraduate. Omar has also worked with the Special Tribunal for Lebanon, the ACLU, and the Santa Clara County Public Defender’s Officer, conducted human rights fieldwork in Egypt, Pakistan, Turkey, Yemen, Syria, Jordan, the US, and the West Bank, and appeared on BBC, Aljazeera, Huffington Post Live, and NPR, among other outlets.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d6e4ee4b0327502a1ffd4/1436380808121/?format=1000w&storage=local
,CenterLaw,,"Freedom of expression (many journalists' cases), other issues",,,,,http://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55940642e4b05111cee42a99/559e850ee4b00a0008c318bc/1436452121843/
Philippines ,,Zharmai Chan Garcia,,,01/07/2014,30/06/2016,"ZHARMAI  C. GARCIA

Zharmai obtained her degree in Legal Management from the University of Santo Tomas Manila, Philippines and her Juris Doctor from the University of the Philippines College of Law. Her exposure and advocacy work relating to violence against women and children, as well as free speech and expression, began when she was still an undergraduate student of law. Prior becoming a Be Just Fellow, Zharmai worked at the University of the Philippines Institute of International Legal Studies, undertaking research on the Law of the Sea, ASEAN, and International Humanitarian Law. Zharmai works with Centerlaw on public interest litigation, with special focus on free speech and expression cases.

",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d6ecde4b0662f614e6739/1436381020971/?format=1000w&storage=local
Philippines ,,Charlaine Latorre,,,01/07/2014,30/06/2016,"CHARLAINE  E. LATORRE

Charlaine obtained her Political Science degree from Ateneo de Manila University and her Juris Doctor degree from the University of the Philippines. Charlaine was admitted to the Philippine Bar in 2014. Prior to joining Centerlaw as a Be Just Fellow, Charlaine was an intern at the Senate of the Philippines – Blue Ribbon Committee and the Office of the Legal Aid of the University of the Philippines. As a Be Just Fellow, Charlaine is working with Centerlaw in pursuing public interest and human rights violations cases,  with  special focus on  murder and torture cases.  

",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d6f6ae4b03815a30f2eea/1436381076150/?format=1000w&storage=local
,ERI,,Extractive industries and environment,,,,,https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55940642e4b05111cee42a99/559e85d1e4b0a37c3cb38b49/1436452321758/?format=2500w&storage=local
US,,Michelle Harrison,,,01/09/2013,01/08/2015,"MICHELLE HARRISON
As a law student, Michelle worked on human rights issues ranging from grass roots human rights advocacy training and capacity building to examining the social and economic impacts of extractive industries on indigenous communities. Michelle has also worked in Tanzania for the Office of the Prosecutor of the International Criminal Tribunal for Rwanda and with the Innocence Project, providing post-conviction representation. After graduating from law school, she received the Robert F. Kennedy ’51 Public Service Fellowship to work with EarthRights International for a year. During her first year at EarthRights, Michelle defended the First Amendment rights of activists against abusive discovery from Chevron, advocated for and helped defend the Dodd-Frank extractive industry payment disclosure rules, and worked on ERI's U.S. litigation against Chiquita for human rights abuses and Union Carbide (Dow Chemical) for environmental abuses. She has continued her work with ERI as a Bertha Fellow. Michelle obtained her law degree from the University of Virginia School of Law and holds a B.A. in Political Science and Environmental Science and a minor in French from Miami University.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d6fcfe4b0f327d687fce7/1436381187502/?format=750w&storage=local
Thailand,,Thornthan Kanmangmee ('Neung'),,,01/10/2013,01/10/2015,"THORNTHAN KANMANGMEE (NEUNG)
Neung is a Thai community rights lawyer. He holds a Bachelor of Laws from Chiang Mai University, Thailand, and is a 2011 graduate of the EarthRights School Mekong. Prior to joining ERI, Neung worked with the Center For Protection And Revival of Local Community Right (CPRLCR), where he conducted cases and community legal trainings on human rights, land and environmental issues in northern Thailand. Cases included those on the legality of a biomass power plant, construction of an asphalt factory and the rescission of identity cards and associated land dispossession of Hmong villagers. Neung is also an active member of the Human Right Lawyers Association of Thailand (HRLA).",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d703ce4b00c0a07b38009/1436381284391/?format=750w&storage=local
Peru,,Camila Mariño Venegas,,,01/11/2013,01/10/2015,"CAMILA MARIÑO
Camila obtained her law degree at the Pontificia Universidad Javeriana, Bogotá, Colombia in May 2013, where she was part of the Law Clinic in Land and Territory and carried out field work supporting campesinos in the south of Bolivar. She holds a Diploma in Advanced Politics, and Social and Economics Studies from the Western Institution summer school of The University of Notre Dame, Indiana. She was an intern at the Inter-American Association for Environmental Defense (AIDA) in 2012, where she supported research on environment and human rights, specifically focusing on human rights violations and mining. She is the founder of the Foundation Spirit of 1991, an NGO that was created to commemorate, monitor the implementation of, and strengthen civil society consciousness of the fundamental rights of citizens that were formalized in the new constitution of Colombia in 1991. Right now she is the amazon legal Bertha Fellow from EarthRights International where she supports the legal team with litigation strategies, investigation on the cases in course and field trips to the communities in danger.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d710ae4b0d042fb7626b2/1436381484037/?format=750w&storage=local
US,,Katherine McDonnell,,,01/05/2014,01/05/2016,"KATHERINE MCDONNELL
Katherine graduated from Santa Clara Law in May 2013. While at Santa Clara, Katherine received the Pro Bono recognition award 2 years in a row, for her work at Community Legal Services of East Palo Alto, assisting clients with VAWA applications, and at Accountability Counsel, defending the human rights of people affected by internationally-funded projects. She received the John Paul Stevens Fellowship to intern with International Rights Advocates in their D.C. office, conducting legal research in Alien Tort Statute (ATS) cases against corporations, and later spent her last semester of law school working in their Quito, Ecuador office. During law school, Katherine also participated in the first semester of Santa Clara’s International Human Rights Clinic, co-authoring a human rights report on a large mining project in Peru, as well as a brief on international legal protections for activities of human rights defenders. Katherine volunteered full-time in EarthRights International’s D.C. office as a Cooperating Attorney for 8 months before becoming a Bertha Fellow. At ERI, she has been assisting in ongoing litigation, as well as non-litigation legal advocacy projects. She holds a BA in English and Sociology from the National University of Ireland, Galway, and an MA in Social Anthropology from the University of Manchester. Katherine is currently admitted to practice law in New York.

",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d7157e4b06869340b3a1f/1436383600311/?format=1000w&storage=local
US,,Upasana Khatri,,,01/09/2014,01/09/2016,"UPASANA KHATRI
Upasana Khatri graduated from the American University Washington College of Law in 2014. During law school, Upasana interned with the Center for International Environmental Law (CIEL), assisting projects within the nexus of environmental protection and international human rights law. Upasana also spent a summer in South Africa, where she worked on an ongoing class action against thirty major gold mining companies filed on behalf of workers who contracted terminal illnesses from hazardous work conditions. As a student attorney at her law school’s international human rights law clinic, she represented clients in immigration court and within the Inter-American human rights system on matters of political asylum, capital punishment, and indigenous rights. Upasana holds a B.A. in Environmental Studies from Davidson College. She is deeply interested in indigenous issues and has spent a significant amount of time in the Amazon, where she studied community-based conservation and the effects of large-scale development on the rights of indigenous and rural populations. She speaks English, Nepali, Spanish, and some Portuguese.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d71a7e4b079ea9ff1b6be/1436383665379/?format=1000w&storage=local
US,,Sean Powers,,,01/09/2014,01/09/2016,"SEAN POWERS
Sean graduated from NYU School of Law in May 2012. During law school, he was a member of the NYU Law Students for Human Rights where, among other things, he advocated before the Unite States Department of State on behalf of Iraqi citizens living in Camp Ashraf with respect to the Unite States' Geneva Convention obligations. He also interned in the Civil Division of the Office for the US Attorney for the Southern District of New York, where he assisted with consumer fraud and civil rights litigation. After graduation, Sean worked in private practice before volunteering on the Chevron Corp. v. Donziger trial held in the Southern District of New York in 2013. After the trial ended, Sean assisted ERI as a cooperating attorney in our Southeast Asia office and now continues as a Bertha Foundation Fellow our DC office. Sean is currently admitted to practice law in New York.

",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d71d8e4b05b4916e2b988/1436381725332/?format=750w&storage=local
Myanmar,,Lum Ja,,,01/09/2014,01/09/2016,"LUM JA
Lum Ja is a lawyer from Kachin State in northern Burma, licensed as a Higher Grade Pleader. Before joining ERI, he practiced law in Kachin State, working on a variety of civil and criminal cases in the township and district courts. Before he qualified as a lawyer, Lum Ja served as a volunteer teacher and a youth leader in his hometown and worked in a township court for three years. He studied constitutional law at BLC in Thailand and graduated with an LL.B. from Myitkyina University. Lum Ja is interested in social work, politics and human rights and speaks Kachin, Myanmar and English. As a Bertha Foundation Fellow at ERI, he is currently providing legal support and strategic advice relating to land confiscation and mining cases in Myanmar.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d7258e4b02979f5240bc0/1436381852634/?format=1000w&storage=local
Myanmar,,Than Than Aye,,,01/09/2014,01/09/2016,"THAN THAN AYE
Than Than Aye is a lawyer from Myanmar, and has been licensed as a Higher Grade Pleader since 2010. She received her law degree from Pyay Art and Science University. Prior to joining ERI, Than Than Aye was one of the founders of Civil and Political Rights Campaign (CPRCG) based in Pyay, Myanmar. CPRCG focuses on empowering communities to use legal tools to address land issues and protect the environment. Than Than Aye has represented clients in a broad range of human rights and land rights cases. She has also provided numerous trainings to local communities, fellow lawyers and activists on legal issues and land rights. As a Bertha Foundation Fellow at ERI, Than Than Aye is providing legal support and strategic advice relating to land confiscation and mining cases in Myanmar, and continues to provide trainings on land, investment and environmental issues to ERI’s networks. Than Than Aye is an alumni of ERI's Mekong Legal Advocacy Institute (MLAI).",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d72dbe4b0cdcc2c71661e/1436381975872/?format=1000w&storage=local
,EELC,,Right to education and community mobilization in South Africa.,,,,,https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55940642e4b05111cee42a99/559e8606e4b0df8f48d2474c/1436452366279/?format=2500w&storage=local
"Cape Town, South Africa",,Solminic Joseph,,,01/04/2013,01/10/2015,"SOLMINIC F.D JOSEPH
Solminic, is from Atlantis, a small town on the outskirts of Cape Town. He graduated high school from the Cape Academy of Mathematics, Science and Technology. In 2007 he enrolled at the University of the Western Cape and graduated with an LL.B degree Cape in 2012. For the duration of his degree Solminic was a recipient of the Canon Collins Educational and Legal Assistance Trust’s Leigh Day Scholarship from the United Kingdom.

While at University Solminic became involved with the UWC HIV/AIDS Programme, he volunteered as a Peer Educator in 2009, then was invited back to be a Senior Peer Educator in 2010 and 2011. During his time Solminic was a recipient of the University Scholarship for South African Students from Professor Robert Paul Wolff in the United States of America for his work in the Programme. Solminic was employed as a senior research fieldworker with HealthWise South Africa in 2012 and before joining the Equal Education Law Centre (EELC) he was employed by the UWC HIV/AIDS Programme as a Programme Assistant and coordinator of the Programme’s UWC iCare Initiative. Solminic is currently completing his Articles of Clerkship with the EELC and well on his way to realise his dream of becoming a public interest litigator.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d7369e4b0c505a01e3b07/1436382157693/?format=750w&storage=local
"Cape Town, South Africa",,Chandre Stuurman,,,?,?,"CHANDRE STUURMAN
Chandré is from Clarkson, a small town situated in the Eastern Cape Province. Chandré attended High School Paul Sauer and graduated in 2006. She enrolled at the University of Stellenbosch in 2007 where she studied towards a BA LL.B degree. In 2009, after being conferred her undergraduate degree she furthered her studies and obtained her LLB degree in 2011.

Whilst at University Chandré was a recipient of a scholarship from the Make a Difference Foundation (MAD). MAD was founded by noted South African sportsman François Pienaar and is awarded to young individuals from previously disadvantaged backgrounds who display exceptional leadership abilities and academic acumen. In her final year of studies Chandré was awarded the scholarship by the Esteé Lauder Foundation for the Nation Project, a scholarship awarded to young woman who show a determination to achieve great success despite coming from an impoverished background. d her undergraduate degree she furthered her studies and obtained her LLB degree in 2011.

While at University Chandré was employed by the South African Property Law Research Chair Prof Van der Walt as a Constitutional Property Law researcher, focusing on Section 25 of the South African Constitution. Chandré was also involved with the University of Stellenbosch Legal Aid Clinic’s Financial Literacy Project as part of a community initiative of the Clinic’s Debt Review Department.d her undergraduate degree she furthered her studies and obtained her LLB degree in 2011.

Chandré performed her Articles of Clerkship with Shepstone & Wylie Attorneys, where she gained experience in Corporate and Commercial Law. Chandré is currently employed by the Equal Education Law Centre.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d7450e4b005f0fff8ae65/1436382343703/?format=1000w&storage=local
"Cape Town, South Africa",,Amanda Rinquest,,,?,?,"AMANDA RINQUEST: Amanda was born in Cape Town and completed her Bachelor of Social Science and a Bachelor of Laws at the University of Cape Town in 2011. During this time she was active in student organisations that promoted the universal enjoyment of human rights. This included serving as the Vice-Chairperson for the Humanities Student Council, tutoring English and Mathematics for Shawco students, and participating in the activities of the Students for Law and Social Justice and the Social Justice Coalition.

After completing university, Amanda volunteered and was later employed by a NGO in Mpumalanga for three years.  Her role in the organisation included coordinating the Community Program, which included literacy classes, sporting programs and clinic evenings for rural farm workers and their families.

At the beginning of 2015 she joined Equal Education Law Centre as a Candidate Attorney. 

",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d74cae4b07877dd53bffa/1436382490592/?format=1000w&storage=local
"Cape Town, South Africa",,Demichelle Petherbridge,,,?,?,"DEMICHELLE PETHERBRIDGE: Demichelle Petherbridge obtained her B.Comm Law degree from Stellenbosch University in 2005, and subsequently completed her post - graduate LLB degree in 2007 at the same University. In August 2008, she obtained a certificate in International and European Legal Studies from Antwerpen University, Belgium and completed Practical Legal Training through the LEAD School of Legal Practice, Cape Town in 2014. Demichelle was also a student participant in the Socio-Economic Rights and Administrative Justice Research Project at the Faculty of Law, Stellenbosch University from 2012 to 2014. In March 2015, she received her doctoral degree from Stellenbosch University, which focuses on the role of international law in the interpretation of socio-economic rights in South Africa. She joined the Equal Education Law Centre in February 2015 and is currently working there as a candidate attorney. ",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d754be4b0480fed31c64e/1436382572904/?format=1000w&storage=local
,ECCHR,,Strat litigation against state and corporate actors across the world: from drones in Yemen to violence in Colombia,,,,,https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55940642e4b05111cee42a99/559e863ce4b0fd23a135e9fa/1436452422805/?format=2500w&amp;storage=local
Berlin,,Christian Schliemann,,,01/07/2014,30/06/2016,"CHRISTIAN SCHLIEMANN
After his law studies in Berlin and Strasbourg Christian Schliemann worked at the Free University Berlin, where he among other topics analyzed the rules of public international law for business operations of transnational corporations in weak and failing states. In his PhD project he investigates the entitlement of minorities and indigenous peoples under public international law to autonomously regulate their own collective affairs. Part of this project is an analysis of the dangers transnational corporations create in this regard. He conducted research and worked in Costa Rica and Peru for this purpose. Christian is a Bertha Fellow and works in the ECCHR’s business and human rights department.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d759ee4b0480fed31c900/1436382762269/?format=750w&storage=local
Berlin,,Nicolas Bueno ,,,01/07/2014,01/07/2016,"NICOLAS BUENO
Nicolas Bueno specialized in Public International Law and Human Rights Law at the University of Lausanne and at the Freie University in Berlin. He interned at the European Court of Human Rights (2008) and at the International Criminal Court (2009). In 2013, he was a Fulbright Research Fellow at Columbia Law School in New York. He wrote his PhD thesis on “Democracy and the Future of Political Human Rights”. At ECCHR, Mr. Bueno is a Bertha Fellow and works as Legal Researcher for the Business and Human Rights Program.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d7693e4b0327502a23e7b/1436382887725/?format=750w&storage=local
,LRC,,Legal services to marginalized and repressed groups of society in South Africa,,,,,https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55940642e4b05111cee42a99/559e87f9e4b099c06a4773a9/1436452871432/?format=2500w&storage=local
"Johannesburg, South Africa",,Jade Amman,,,01/01/2014,31/12/2015,"JADE AMMAN
Jade Amman studied her law degree part time through the University of South Africa and graduated her LLB in 2012. In 2013 she interned at the Legal Resources Centre (LRC) and in 2014 joined the LRC as a Candidate Attorney in the Johannesburg Office. Jade has had the opportunity to work with a number of areas of work of the office which include gender, housing, freedom of expression and the impact of extractives on the environment and water resources.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d7b32e4b00219c95999e6/1436384151827/?format=750w&storage=local
"Johannesburg, South Africa",,Nhlamulo Mvelase,,,01/01/2014,31/12/2015,"NHLAMULO MVELASE
Nhlamulo Mvelase received his LLB degree from the University of the Witwatersrand. In his fourth year of his law degree he worked in the university’s law clinic which provided free legal services to members of society who were from low to no-income homes. Upon completion of his studies he went onto volunteer and intern at ProBono.Org, an NGO that works with the private legal profession to provide pro bono legal services to people who cannot afford legal services. Nhlamulo is currently employed as a Candidate Attorney at the Legal Resources Centre (LRC) in the Johannesburg Office. He works in the Land and Housing Unit, which in recent times has prevented the mass unlawful eviction of persons living in urban and rural areas. Nhlamulo relishes working in public interest law and hopes to be an attorney specialising in Constitutional Law upon his admission as an attorney.",https://static1.squarespace.com/static/5395f905e4b052b96310e7d9/55943118e4b0c9c17ebfa124/559d7bd8e4b0480fed31f60b/1436384258323/?format=750w&storage=local
